subj,metric,time_ms,beta_uV
s9,G,-80.0,-0.08478473035301769
s9,G,-60.0,-0.03897179303637611
s9,G,-40.0,0.0786837107040592
s9,G,-20.0,0.1567451276166415
s9,G,0.0,0.07643517238578319
s9,A,-200.0,0.048082373773343956
s9,A,-180.0,0.04982695138204736
s9,A,-160.0,-0.10157456950171893
s9,A,-140.0,-0.1269831015068227
s9,A,-120.0,-0.12235633238225987
s9,A,-100.0,0.04320477972579831
s9,A,-80.0,0.024960954833791495
s9,A,-60.0,-0.06884327973868021
s9,A,-40.0,0.0210410357501941
s9,A,-20.0,0.12010070575129067
s9,A,0.0,0.17975459378213993
s9,I,-200.0,-0.10110417757410048
s9,I,-180.0,-0.02369454936132545
s9,I,-160.0,0.26768040896285195
s9,I,-140.0,0.1884803505343425
s9,I,-120.0,0.061505533484117206
s9,I,-100.0,-0.04909224927700445
s9,I,-80.0,0.04464034437307178
s9,I,-60.0,0.13850671349586022
s9,I,-40.0,-0.1649584349742979
s9,I,-20.0,-0.24447936011132732
s9,I,0.0,-0.21087589808450508
s10,G,-200.0,0.014579816634422496
s10,G,-180.0,0.11695325116770766
s10,G,-160.0,0.096674808217266
s10,G,-140.0,0.1015358282016309
s10,G,-120.0,0.11342837727373144
s10,G,-100.0,0.0336100816432486
s10,G,-80.0,-0.1641678009380162
s10,G,-60.0,-0.2748630975285979
s10,G,-40.0,-0.16706925897309183
s10,G,-20.0,0.03856558146409357
s10,G,0.0,0.1521544143211002
s10,A,-200.0,0.07698015965035312
s10,A,-180.0,-0.007808766554139562
s10,A,-160.0,-0.1495875308377783
s10,A,-140.0,0.02592035556158316
s10,A,-120.0,0.14532069963775557
s10,A,-100.0,-0.0017645865727942273
s10,A,-80.0,-0.13537085118306771
s10,A,-60.0,-0.06145351308446689
s10,A,-40.0,0.11021800758704678
s10,A,-20.0,0.08207597544450193
s10,A,0.0,-0.20082242018777466
s10,I,-200.0,0.020261437119091907
s10,I,-180.0,-0.09585965168140842
s10,I,-160.0,-0.029808370311010933
s10,I,-140.0,-0.0930472581928415
s10,I,-120.0,-0.22852521517178612
s10,I,-100.0,0.08149890673832137
s10,I,-80.0,0.2339169617036051
s10,I,-60.0,0.20511191692676217
s10,I,-40.0,0.02836619199932676
s10,I,-20.0,-0.13057001512220076
s10,I,0.0,0.01026502150825663
s11,G,-200.0,0.01024147470781316
s11,G,-180.0,0.00815967444707307
s11,G,-160.0,-0.007890637676005452
s11,G,-140.0,0.009153391698311773
s11,G,-120.0,-0.06996494025192979
s11,G,-100.0,-0.04658210821992642
s11,G,-80.0,0.13378287628139807
s11,G,-60.0,0.07452240511447977
s11,G,-40.0,-0.09916140131675297
s11,G,-20.0,0.022936203066702923
s11,G,0.0,-0.11339508146481603
s11,A,-200.0,0.021299365600979215
s11,A,-180.0,-0.03592228760371277
s11,A,-160.0,-0.129014480667091
s11,A,-140.0,-0.0178847131805992
s11,A,-120.0,-0.01980569368973538
s11,A,-100.0,0.038718321122542906
s11,A,-80.0,0.061579635373760516
s11,A,-60.0,0.06498368786402911
s11,A,-40.0,0.015697791702817737
s11,A,-20.0,-0.021717051184476505
s11,A,0.0,0.002556580676958936
s11,I,-200.0,-0.02623911042814008
s11,I,-180.0,-0.008227378871233294
s11,I,-160.0,0.31984824768541414
s11,I,-140.0,0.10352836652245119
s11,I,-120.0,0.13002324767918988
s11,I,-100.0,0.10000958723074432
s11,I,-80.0,-0.12122589145533597
s11,I,-60.0,-0.15197652252206711
s11,I,-40.0,-0.010580949065494463
s11,I,-20.0,-0.18795781719675855
s11,I,0.0,-0.17708215928464618
s12,G,-200.0,0.02351593891375522
s12,G,-180.0,0.12153645509672276
s12,G,-160.0,0.15631055946881758
s12,G,-140.0,0.09282232431245145
s12,G,-120.0,0.07922492734875738
s12,G,-100.0,0.07997350182862135
s12,G,-80.0,0.00337246951354523
s12,G,-60.0,-0.19562265101241755
s12,G,-40.0,-0.13195306802219445
s12,G,-20.0,-0.1354494955000952
s12,G,0.0,-0.14689949994494053
s12,A,-200.0,0.07667277745984147
s12,A,-180.0,0.07018864986200268
s12,A,-160.0,-0.11881211729014668
s12,A,-140.0,-0.048593388513818045
s12,A,-120.0,0.016528780766180386
s12,A,-100.0,-0.12133016982435271
s12,A,-80.0,-0.1816905204917523
s12,A,-60.0,-0.058650266392697575
s12,A,-40.0,0.12193582006627499
s12,A,-20.0,0.14049057626541797
s12,A,0.0,0.18514312094814822
s12,I,-200.0,-0.019732103451292927
s12,I,-180.0,0.005308479328476737
s12,I,-160.0,0.08924620119016125
s12,I,-140.0,0.14818758501390647
s12,I,-120.0,-0.04383669900177411
s12,I,-100.0,0.1415219170713955
s12,I,-80.0,0.29253968093793936
s12,I,-60.0,-0.07163999107972222
s12,I,-40.0,-0.42409724965690154
s12,I,-20.0,-0.09950490932130573
s12,I,0.0,-0.15192620870344828
s13,G,-200.0,-0.1371110574219897
s13,G,-180.0,-0.22913842380363225
s13,G,-160.0,0.0068607779433919325
s13,G,-140.0,0.159110785345424
s13,G,-120.0,0.2548165280074076
s13,G,-100.0,-0.19100353866037345
s13,G,-80.0,-0.06673583586990638
s13,G,-60.0,0.023083856554407332
s13,G,-40.0,0.0008514972044630781
s13,G,-20.0,0.12456249356469726
s13,G,0.0,0.07388062268159949
s13,A,-200.0,0.028654951675454402
s13,A,-180.0,0.1326728577303
s13,A,-160.0,-0.0878859060917945
s13,A,-140.0,-0.16889422756618405
s13,A,-120.0,-0.18339912613921588
s13,A,-100.0,0.020014444413090464
s13,A,-80.0,0.014828086227316972
s13,A,-60.0,-0.04949220016258808
s13,A,-40.0,0.0579564816026596
s13,A,-20.0,0.16140193565993133
s13,A,0.0,0.1737664065966566
s13,I,-200.0,0.08163768910905606
s13,I,-180.0,-0.009243102839391379
s13,I,-160.0,0.24410026089686626
s13,I,-140.0,0.11169032570381324
s13,I,-120.0,0.05542836813720353
s13,I,-100.0,0.12190097010090294
s13,I,-80.0,0.27219999097318753
s13,I,-60.0,0.08826987511631407
s13,I,-40.0,-0.41818632435691827
s13,I,-20.0,-0.45586729496321765
s13,I,0.0,-0.1572084528665967
s14,G,-200.0,-0.001832481899111428
s14,G,-180.0,-0.030238361996934277
s14,G,-160.0,-0.0534461803664494
s14,G,-140.0,-0.3392725733154915
s14,G,-120.0,-0.35828575673526675
s14,G,-100.0,-0.19418477608069618
s14,G,-80.0,0.029430108005238716
s14,G,-60.0,0.35539554088399217
s14,G,-40.0,0.39700579833478156
s14,G,-20.0,0.1707032581876707
s14,G,0.0,0.06576830298910363
s14,A,-200.0,0.13745915958369825
s14,A,-180.0,0.06668026491653144
s14,A,-160.0,-0.1683961684862551
s14,A,-140.0,0.02754792880314494
s14,A,-120.0,0.21280084021455048
s14,A,-100.0,0.19784247086176815
s14,A,-80.0,-0.06548591210159621
s14,A,-60.0,-0.138857892148309
s14,A,-40.0,-0.1148433579717183
s14,A,-20.0,-0.056713296127166093
s14,A,0.0,-0.09374760635450091
s14,I,-200.0,-0.23048470350228148
s14,I,-180.0,0.011711331283696738
s14,I,-160.0,0.06442611017280725
s14,I,-140.0,-0.159407726716366
s14,I,-120.0,-0.16367042103760282
s14,I,-100.0,-0.10466810438802956
s14,I,-80.0,0.18932274309516312
s14,I,-60.0,-0.2655223379522406
s14,I,-40.0,0.08155142092848702
s14,I,-20.0,0.3934203070048197
s14,I,0.0,0.29951266049973224
s15,G,-200.0,-0.044382205359716535
