held_out_identity,subj,metric,time_ms,beta_uV
F_2,s10,G,520.0,0.08347831631284273
F_2,s10,G,540.0,-0.11157860771306881
F_2,s10,G,560.0,0.016051717070436317
F_2,s10,G,580.0,0.31128355196455515
F_2,s10,G,600.0,0.1806024350089099
F_2,s10,G,620.0,-0.30420920200956
F_2,s10,G,640.0,-0.20946952744317499
F_2,s10,G,660.0,0.15739458692816333
F_2,s10,G,680.0,0.10612907114926101
F_2,s10,G,700.0,-0.095129618365598
F_2,s10,G,720.0,-0.11718240760426948
F_2,s10,G,740.0,-0.07991528710352491
F_2,s10,G,760.0,-0.0887030851017643
F_2,s10,G,780.0,-0.0686920270208505
F_2,s10,G,800.0,-0.06848329007490728
F_2,s10,G,820.0,-0.12554503268581496
F_2,s10,G,840.0,-0.17232769908572435
F_2,s10,G,860.0,-0.3228731360474935
F_2,s10,G,880.0,-0.22595943122123724
F_2,s10,G,900.0,-0.17645262094537223
F_2,s10,G,920.0,-0.3677533793673899
F_2,s10,G,940.0,-0.5022109232614795
F_2,s10,G,960.0,-0.49758696152767784
F_2,s10,G,980.0,-0.2962959670047294
F_2,s10,A,0.0,-0.2715322297519912
F_2,s10,A,20.0,-0.31025469772959113
F_2,s10,A,40.0,-0.24469991154936926
F_2,s10,A,60.0,-0.0876789914837861
F_2,s10,A,80.0,-0.023260064703742978
F_2,s10,A,100.0,0.06589462582524223
F_2,s10,A,120.0,-0.08994075222098706
F_2,s10,A,140.0,-0.2560995424801854
F_2,s10,A,160.0,-0.2088024437271679
F_2,s10,A,180.0,-0.17905354532167916
F_2,s10,A,200.0,-0.33283083477274905
F_2,s10,A,220.0,-0.2223079764225677
F_2,s10,A,240.0,-0.1565291243189115
F_2,s10,A,260.0,-0.05398890726245094
F_2,s10,A,280.0,-0.18025890431449149
F_2,s10,A,300.0,-0.3099047890431831
F_2,s10,A,320.0,-0.33408677338316006
F_2,s10,A,340.0,-0.5299933670220416
F_2,s10,A,360.0,-0.6687111130999657
F_2,s10,A,380.0,-0.6719042308801826
F_2,s10,A,400.0,-0.6760959618805383
F_2,s10,A,420.0,-0.9673393007089782
F_2,s10,A,440.0,-0.893534480916645
F_2,s10,A,460.0,-0.7154088208493752
F_2,s10,A,480.0,-0.8423014566112492
F_2,s10,A,500.0,-0.9551044317448311
F_2,s10,A,520.0,-0.5926393852141882
F_2,s10,A,540.0,-0.5756812070387218
F_2,s10,A,560.0,-0.8005770492799118
F_2,s10,A,580.0,-0.8261964246425637
F_2,s10,A,600.0,-0.5691657149006508
F_2,s10,A,620.0,-0.09536361766140247
F_2,s10,A,640.0,-0.424088561523256
F_2,s10,A,660.0,-0.6670861755671389
F_2,s10,A,680.0,-0.285451123919673
F_2,s10,A,700.0,-0.004608781250698038
F_2,s10,A,720.0,-0.05772209343265354
F_2,s10,A,740.0,-0.2376393940020588
F_2,s10,A,760.0,-0.17482761035159974
F_2,s10,A,780.0,-0.1329863077857941
F_2,s10,A,800.0,-0.33683161733884376
F_2,s10,A,820.0,-0.5452251064312046
F_2,s10,A,840.0,-0.5401247577056697
F_2,s10,A,860.0,-0.565561397909345
F_2,s10,A,880.0,-0.5019186358348122
F_2,s10,A,900.0,-0.5027996905304829
F_2,s10,A,920.0,-0.374137926193562
F_2,s10,A,940.0,-0.14028068704917418
