contrast,time_ms,mean_beta_uV,sem_beta_uV,ci95_low,ci95_high,t,p_uncorrected,cohen_dz,n_subjects,p_fdr
Skin,200.0,-0.12522771040492536,0.062438863813172284,-0.2533416765911488,0.002886255781298086,-2.0056052073533563,0.05501513013498811,-0.37902375763093654,28,0.25006877334085503
Skin,220.0,-0.07105723131323437,0.05886116234933693,-0.19183036045710422,0.0497158978306355,-1.2072006137343096,0.23782469736229184,-0.22813947189325198,28,0.45941251446955983
Skin,240.0,-0.0597697814817169,0.068053063571807,-0.19940313405832327,0.0798635710948895,-0.8782820103117047,0.3875398846365374,-0.16597969859047407,28,0.5382498397729686
Skin,260.0,0.043334902017814016,0.08146839194785292,-0.1238244307093673,0.21049423474499532,0.5319228842218002,0.5991293969991708,0.10052397630822046,28,0.6779362417235206
Skin,280.0,0.08258226725163263,0.08994494123716604,-0.1019695079818106,0.2671340424850759,0.9181424337571186,0.36667386366392307,0.1735126105612093,28,0.5382498397729686
Skin,300.0,-0.009049127590898456,0.07833099603115826,-0.16977105563392503,0.1516728004521281,-0.11552422475642876,0.9088845369854329,-0.021832026364931558,28,0.9088845369854329
Skin,320.0,-0.12086443887082428,0.07507934848103431,-0.2749145372416682,0.03318565950001963,-1.609822691806598,0.11906779957028524,-0.3042278926734882,28,0.3968926652342841
Skin,340.0,-0.06412965309305847,0.09354405913632376,-0.2560662082644039,0.127806902078287,-0.6855555947128718,0.49883784951335136,-0.12955782953708894,28,0.656365591464936
Skin,360.0,-0.04951176013888629,0.09729068919845209,-0.2491357652056691,0.1501122449278965,-0.5089054312061964,0.6149522794619046,-0.09617408655869178,28,0.6779362417235206
Skin,380.0,-0.15106996799924435,0.09825003876821709,-0.3526623957892432,0.05052245979075448,-1.537607210065692,0.1357825520202141,-0.2905804494238337,28,0.3993604471182768
Skin,400.0,-0.15175974793199373,0.09804594730060136,-0.35293341462058536,0.049413918756597924,-1.5478431501784562,0.13330274737348433,-0.2925148602790712,28,0.3993604471182768
Skin,420.0,-0.18655257752174012,0.0910357523925648,-0.37334251237154764,0.00023735732806740018,-2.049223218557993,0.0502717258604943,-0.38726678694027206,28,0.25006877334085503
Skin,440.0,-0.17724945724771035,0.08054532691328506,-0.3425148169682694,-0.011984097527151294,-2.2006175161289834,0.036498434187055874,-0.4158776198892829,28,0.2281152136690992
Skin,460.0,-0.21522814884718605,0.08484647994215028,-0.3893187456084224,-0.04113755208594974,-2.536677408348963,0.017282012471069943,-0.4793869699205141,28,0.17282012471069944
Skin,480.0,-0.26472440550986864,0.0964929266917479,-0.46271153712049196,-0.0667372738992453,-2.7434591797131995,0.010667886875400502,-0.5184650515413132,28,0.15304220753497472
Skin,500.0,-0.19513682464956789,0.08662963730723872,-0.37288615810817927,-0.017387491190956533,-2.252541170840875,0.032621529886793676,-0.42569026828422957,28,0.2281152136690992
Skin,520.0,-0.1928790212739824,0.08106981867264532,-0.3592205491920393,-0.026537493355925534,-2.3791717365597593,0.024681388982482632,-0.4496211958036288,28,0.2056782415206886
Skin,540.0,-0.21652216343059902,0.08063862383072389,-0.3819789526134526,-0.05106537424774543,-2.685092492217142,0.012243376602797977,-0.5074347844009423,28,0.15304220753497472
Skin,560.0,-0.2886804785759874,0.09310007787550964,-0.47970605944764905,-0.09765489770432573,-3.100754426457101,0.004481771961755825,-0.5859875063634434,28,0.11204429904389562
Skin,580.0,-0.3010855547191171,0.08932402721117402,-0.4843633196059193,-0.11780778983231488,-3.3707118243483385,0.00227386726179033,-0.6370046591778954,28,0.11204429904389562
Skin,600.0,-0.12093637328911298,0.09441800658246476,-0.31466612050025056,0.07279337392202458,-1.2808613279023962,0.21113575147898883,-0.24206003839926407,28,0.45941251446955983
Skin,620.0,0.08845962059872182,0.09051060134789737,-0.0972527933118756,0.27417203450931926,0.9773398837414398,0.33707712979251647,0.18469987705461632,28,0.5382498397729686
Skin,640.0,-0.07543963753017925,0.08440011960402419,-0.24861437852830198,0.0977351034679435,-0.893833301233643,0.37930967099854984,-0.16891861632943586,28,0.5382498397729686
Skin,660.0,-0.1592698447608445,0.08776377680097255,-0.3393462402426444,0.02080655072095544,-1.8147560481818228,0.08068717741100229,-0.34295665669567515,28,0.3103352977346242
Skin,680.0,-0.08616606171421075,0.08587542857999919,-0.2623678866904763,0.09003576326205477,-1.003384357307059,0.3245836578606554,-0.18962181991763238,28,0.5382498397729686
Skin,700.0,-0.04591895649106311,0.07281375824947954,-0.1953204476869633,0.10348253470483706,-0.6306357149390971,0.5335807853376966,-0.11917894782887654,28,0.6676433739240369
Skin,720.0,-0.043711918176255415,0.06940524577290516,-0.1861197194569165,0.09869588310440566,-0.6298071232148844,0.5341146991392296,-0.11902235871168561,28,0.6676433739240369
Skin,740.0,-0.03816374592484329,0.08002208979470546,-0.2023555117581455,0.12602801990845894,-0.4769151370921625,0.6372600672201094,-0.09012848923058127,28,0.6779362417235206
Skin,760.0,-0.036653540286085494,0.07666559822676797,-0.1939583542919848,0.1206512737198138,-0.47809631873827635,0.6364300136941883,-0.09035171157978207,28,0.6779362417235206
Skin,780.0,-0.05700399509072603,0.08061362774221999,-0.22240949653639466,0.10840150635494258,-0.707126036716881,0.485547044793468,-0.1336342599093997,28,0.656144655126308
Skin,800.0,-0.10026630232609506,0.08268631956330748,-0.2699246161015301,0.06939201144934,-1.212610536490595,0.23578254473469182,-0.229161851195052,28,0.45941251446955983
Skin,820.0,-0.0878942050638144,0.08061910001468106,-0.2533109346851131,0.07752252455748435,-1.0902404647013986,0.2852419920048686,-0.20603608134709953,28,0.4917965379394287
Skin,840.0,-0.08557026899469451,0.06843582969639558,-0.22598899278640666,0.05484845479701762,-1.2503723469754526,0.22189203900751334,-0.23629816259494374,28,0.45941251446955983
Skin,860.0,-0.0854215279583898,0.06584433747566452,-0.2205229489283847,0.049679893011605095,-1.2973253469208468,0.20549533053706467,-0.24517144553522538,28,0.45941251446955983
Skin,880.0,-0.10003036858123768,0.06706556015355085,-0.23763753150913752,0.03757679434666217,-1.491531098110741,0.1474145139802286,-0.2818728827371501,28,0.4094847610561905
Skin,900.0,-0.10280805240752602,0.0707127176605538,-0.24789856440670466,0.04228245959165261,-1.4538834853023361,0.1575048673627091,-0.27475815266955805,28,0.4144864930597608
Skin,920.0,-0.06682824994613083,0.0713992542364107,-0.21332741864233257,0.07967091875007089,-0.9359796633849312,0.35758047879919413,-0.17688353010931973,28,0.5382498397729686
Skin,940.0,-0.0860613149666322,0.07368894885387829,-0.23725854895237458,0.06513591901911016,-1.1678998860098782,0.2530571643030966,-0.22071233247163005,28,0.45941251446955983
Skin,960.0,-0.14460835779517137,0.08338385235710938,-0.3156978906431749,0.02648117505283215,-1.7342489427791703,0.09427927729552378,-0.32774224386216927,28,0.33671170462687067
Skin,980.0,-0.16078110248958957,0.08489121444787423,-0.3349634868748099,0.013401281895630807,-1.8939663372151903,0.06898984217161926,-0.35792599427137783,28,0.28745767571508024
Structural,0.0,0.027856947449838933,0.03807802540760557,-0.0502727070887978,0.10598660198847568,0.731575420512086,0.4707301386357547,0.13825475914017718,28,0.8717224789551012
Structural,20.0,0.021524089717202852,0.04422319784304987,-0.06921441715351198,0.11226259658791768,0.4867149090753866,0.6303881012302024,0.09198047205720622,28,0.9332513793369843
Structural,40.0,0.029716332621336876,0.049778380405218044,-0.07242046735505375,0.1318531325977275,0.5969726692478297,0.5554990326602389,0.11281723016658382,28,0.9278629553593662
Structural,60.0,0.03982848288001166,0.04582922954769461,-0.054205328852728094,0.1338622946127514,0.8690628944255334,0.39247282032224295,0.1642374494517102,28,0.8203111273420906
Structural,80.0,0.06068676548725902,0.048933054334272044,-0.039715568660388216,0.16108909963490625,1.2401998263320106,0.22557162999398556,0.23437573689285673,28,0.5936095526157515
Structural,100.0,0.022923094040838442,0.05174297506018435,-0.08324472120112608,0.12909090928280298,0.4430184776614732,0.6612817072322644,0.08372262272133439,28,0.9332513793369843
Structural,120.0,0.0319820690515778,0.05545639617479979,-0.08180505695389693,0.14576919505705255,0.576706588555982,0.5689150672066544,0.10898730091225549,28,0.9278629553593662
Structural,140.0,-0.015525817190643245,0.05412112660524158,-0.12657319634557093,0.09552156196428445,-0.2868716555715524,0.7764006080120172,-0.05421364705969318,28,0.9484663955887551
Structural,160.0,-0.00544037044745907,0.06509098082604572,-0.13899603125397278,0.12811529035905464,-0.08358101811368222,0.9340061737192393,-0.015795327732456288,28,0.9557264184899176
Structural,180.0,-0.03504540345695701,0.0655643873908815,-0.16957241429990283,0.09948160738598882,-0.5345188882498584,0.5973571150251227,-0.10101457495541787,28,0.9332513793369843
Structural,200.0,-0.064786250443209,0.0476172582605295,-0.16248879405328637,0.03291629316686835,-1.3605623845191246,0.18490273187022155,-0.2571221223304742,28,0.5602682759342617
Structural,220.0,-0.04443013848546216,0.04325874955556561,-0.13318976092834964,0.044329483957425315,-1.0270786590442682,0.31349744361309934,-0.19409962205234527,28,0.714181346081721
Structural,240.0,-0.05494346099262624,0.03947937677022037,-0.13594845102138725,0.02606152903613477,-1.391700312606519,0.1753733122212672,-0.2630066376205499,28,0.5602682759342617
Structural,260.0,-0.0015953426516209057,0.03992099179740166,-0.08350645186968876,0.08031576656644694,-0.039962500423768074,0.9684170620357999,-0.0075522027064002595,28,0.9684170620357999
Structural,280.0,-0.00397720301387826,0.04954573190228948,-0.1056366476923466,0.09768224166459008,-0.08027337292588214,0.9366118901201191,-0.015170241547302106,28,0.9557264184899176
Structural,300.0,-0.03908469023157862,0.05240295751887577,-0.1466066776226279,0.06843729715947065,-0.7458489383447519,0.46220327140466433,-0.14095220046298287,28,0.8717224789551012
Structural,320.0,-0.08900718872871075,0.04591289892866794,-0.1832126758506266,0.0051982983932050975,-1.9386096457772306,0.06306832311054839,-0.3663627865683978,28,0.3941770194409274
Structural,340.0,-0.06827532672829793,0.03890572510733736,-0.14810328076932594,0.01155262731273006,-1.7548915112090187,0.09062098548649995,-0.3316433226112416,28,0.4119135703931816
Structural,360.0,0.01140169528001382,0.03514539078850906,-0.06071069005347417,0.08351408061350181,0.3244150946741401,0.7481238432980364,0.061308690147374965,28,0.9484663955887551
Structural,380.0,-0.03755619096033626,0.04333293315470926,-0.12646802557576903,0.0513556436550965,-0.8666893336357221,0.39374934112420346,-0.163788888625172,28,0.8203111273420906
Structural,400.0,-0.06541350290670615,0.05235709010249384,-0.1728413781331109,0.04201437231969858,-1.2493723921374007,0.22225171686684414,-0.23610918889324511,28,0.5936095526157515
Structural,420.0,0.030573554818542285,0.041576702545415054,-0.05473479223876385,0.11588190187584843,0.7353530450171266,0.46846453337530003,0.1389686630678144,28,0.8717224789551012
Structural,440.0,0.062050495793675955,0.04370266344003453,-0.027619962704054146,0.15172095429140606,1.4198332758097667,0.1671002460944879,0.2683232679262016,28,0.5602682759342617
Structural,460.0,0.010258442414826182,0.051445895904375386,-0.09529981674943933,0.11581670157909169,0.19940254192276038,0.8434419844448888,0.03768353833726824,28,0.9484663955887551
Structural,480.0,0.014026469088169563,0.05510186832150201,-0.09903322584896654,0.12708616402530568,0.2545552358829204,0.8009954575602162,0.04810641779111376,28,0.9484663955887551
Structural,500.0,0.013063432221472448,0.0468674879090786,-0.08310070970114579,0.10922757414409069,0.27873122294958674,0.7825748378170467,0.05267524989667898,28,0.9484663955887551
Structural,520.0,0.031263622815941874,0.05149373096281775,-0.07439278578099329,0.13692003141287704,0.6071345430090607,0.5488338628107027,0.11473764379705881,28,0.9278629553593662
Structural,540.0,-0.02176609805188606,0.054099610896477204,-0.1327693306189873,0.08923713451521519,-0.4023337264576037,0.6906060207093684,-0.07603392744719338,28,0.9332513793369843
Structural,560.0,0.009709471107536533,0.059971545633810575,-0.11334197634440597,0.13276091855947902,0.16190129843948123,0.8725890839416548,0.030596469472094066,28,0.9484663955887551
Structural,580.0,0.08298062790565328,0.05470835680698294,-0.02927164809740622,0.19523290390871278,1.5167815805255858,0.14094398848717124,0.2866447753767279,28,0.5602682759342617
Structural,600.0,0.06226855306389399,0.04636935366020799,-0.03287350180558754,0.15741060793337552,1.3428816265198442,0.19049121381764894,0.2537807731406734,28,0.5602682759342617
Structural,620.0,0.006578064731146156,0.051837855496682225,-0.0997844290858417,0.112940558548134,0.1268969302089893,0.8999623041890283,0.02398126567646466,28,0.9557264184899176
Structural,640.0,0.029187538612796295,0.05146044621943269,-0.07640057533192818,0.13477565255752078,0.5671839394539564,0.5752750323228071,0.10718768938750606,28,0.9278629553593662
Structural,660.0,0.05554698998277129,0.0541671316279346,-0.05559478368162931,0.1666887636471719,1.025474089422248,0.3142397922759572,0.1937963868965486,28,0.714181346081721
Structural,680.0,0.10783320614541501,0.043018631775434496,0.019566264691350074,0.19610014759947997,2.506662850374345,0.018510750731168528,0.47371475162677334,28,0.1719647523126283
Structural,700.0,0.127949628699651,0.04890140131964162,0.02761224117336107,0.22828701622594094,2.6164818440133137,0.014372962893388897,0.49446859065535165,28,0.1719647523126283
Structural,720.0,0.10107850943750159,0.05033324926511608,-0.0021967873982724345,0.2043538062732756,2.008185660836226,0.054723905260076734,0.37951141750132533,28,0.3908850375719767
Structural,740.0,0.06228294691431716,0.04569198893500189,-0.03146927034119922,0.15603516416983354,1.363104307035449,0.18410992733711595,0.2576025005326307,28,0.5602682759342617
Structural,760.0,0.012705111424050014,0.054198053819048124,-0.09850010933571376,0.12391033218381378,0.23442006730479226,0.81642745900028,0.04430122860082169,28,0.9484663955887551
Structural,780.0,-0.022096315203677625,0.05225295635396868,-0.12931052562706294,0.0851178952197077,-0.42287205826200835,0.6757376866935968,-0.07991530732566361,28,0.9332513793369843
Structural,800.0,0.009458431562675257,0.052540345452611915,-0.09834545258341001,0.11726231570876053,0.18002225682368544,0.8584794199451894,0.034021008715148016,28,0.9484663955887551
Structural,820.0,0.02373139931136615,0.05706052258372151,-0.0933471222122261,0.14080992083495839,0.4158987376350519,0.6807712993120905,0.07859747359771763,28,0.9332513793369843
Structural,840.0,0.015991444115743735,0.05146931570128259,-0.08961486850250575,0.1215977567339932,0.31069859581104237,0.7584156950407906,0.05871651551521375,28,0.9484663955887551
