stage,contrast,channel,mean_beta_uV,t,p_uncorrected,n_subjects,p_fdr
N170,FSlim,FP1,-0.028433451978442863,-0.12930696360143712,0.8982389136566501,24,0.9789916917078325
N170,FSlim,FP2,0.07255485643179596,0.24079755521373486,0.8116758584370816,26,0.9619862025920967
N170,FSlim,FPZ,0.48440476251991577,1.2434376895328965,0.22623233743333565,24,0.9540032503782641
N170,FSlim,FT7,-0.03223602755196327,-0.26000152007451477,0.7968350874756839,28,0.9619862025920967
N170,FSlim,FT8,0.09139397057215652,0.6534650733843856,0.5189832343952624,28,0.9540032503782641
N170,FSlim,FZ,0.09747773767291597,0.7411899894294207,0.46497643307234643,28,0.9540032503782641
N170,FSlim,M1,-0.08390043466235309,-0.6609758007485502,0.5142287562349681,28,0.9540032503782641
N170,FSlim,M2,0.111039998819271,0.9407207159863162,0.3555067078892883,27,0.9540032503782641
N170,FSlim,O1,-0.1486660368732051,-0.8761328741197377,0.3886862553132195,28,0.9540032503782641
N170,FSlim,O2,-0.09216869783237931,-0.584020422200313,0.5640545265398694,28,0.9540032503782641
N170,FSlim,OZ,-0.11828426127729152,-0.8193715342047332,0.4197486922044104,28,0.9540032503782641
N170,FSlim,P1,-0.049188080985479665,-0.4313611138060246,0.6696305849353033,28,0.9555587799683452
N170,FSlim,P2,-0.10050488783225564,-0.8829760424997665,0.38504362132495973,28,0.9540032503782641
N170,FSlim,P3,-0.07432097154412236,-0.8312865169512808,0.41310325720909774,28,0.9540032503782641
N170,FSlim,P4,-0.042388868142170244,-0.38707014878320495,0.7017384790392535,28,0.9555587799683452
N170,FSlim,P5,-0.05704621069444353,-0.5715221215532569,0.5723732564198675,28,0.9540032503782641
N170,FSlim,P6,-0.030861538635694564,-0.26887162030532613,0.7900723818378113,28,0.9619862025920967
N170,FSlim,P7,-0.11227828545279674,-0.9896374938136677,0.3311378121969471,28,0.9540032503782641
