identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,G_new_raw,G_new,G_raw,G,difference_z,mean_z
F_2,F_2_ (14).jpg,14,0,1,1,0,0.007264613478775152,0.0035087719298245615,0.015294382258037453,0.003237755867589469,0.012048192771084487,0.17356321839080469,0.002624671916010457,0.6581815636008065,-0.6300042040709427,0.6685999785945466,-0.8088533289619124,0.1788491248909697,-0.7194287665164276
F_2,F_2_ (15).jpg,15,0,1,1,1,0.008818632510201574,0.0049621528504319124,0.015294382258037453,0.006423294080466127,0.08478357875948239,0.08333333333333348,0.010155144219538004,0.8753533418182674,0.04880315298379259,0.7172660434797088,-0.6177568096726944,0.666559962656487,-0.2844768283444509
F_2,F_2_ (16).jpg,16,1,1,1,0,0.010418841910875717,0.0085947008518708,0.011637279966159297,0.016481233975040855,0.02409638554216853,0.07011494252873574,9.147650109420091e-05,0.7148775197160979,-0.45279134316331887,0.9528841598848404,0.3074423415788043,-0.7602336847421232,-0.07267450079225729
F_2,F_2_ (17).jpg,17,1,1,1,1,0.010693829416618788,0.0085947008518708,0.011637279966159297,0.016465965593817414,0.02409638554216853,0.10459770114942524,0.002772441648547286,0.8304566770896872,-0.09152901436837292,0.975841749733066,0.3975896654197136,-0.4891186797880865,0.15303032552567034
F_2,F_2_ (2).jpg,2,0,0,0,0,0.007207313637238256,0.007017543859649123,0.013589415249850585,0.003260142589021407,0.08478357875948239,0.08333333333333304,0.0,0.6326997909707012,-0.7096518216117046,0.7223009564543453,-0.597986270455119,-0.11166555115658561,-0.6538190460334118
F_2,F_2_ (3).jpg,3,0,0,0,1,0.00798508414527809,0.006077371254627639,0.016079212964757332,0.004821599511295478,0.041874816338524745,0.13989071038251355,0.010155144219538004,0.8965253630639516,0.11497990902112044,0.7465504861672968,-0.5027659000906691,0.6177458091117896,-0.19389299553477435
F_2,F_2_ (4).jpg,4,1,0,0,0,0.017309806154165372,0.00784585255263084,0.031186647078300312,0.015739687702861355,0.0174845724360857,0.18333333333333313,0.0022597442699342496,1.135483004854626,0.8618826907883615,1.2789994977075525,1.587995969487773,-0.7261132786994114,1.2249393301380673
F_2,F_2_ (5).jpg,5,1,0,0,1,0.017904233991750337,0.011637279966159297,0.03253901226489721,0.01691432794647116,0.006905671466353347,0.1435028248587571,0.0049335410613779995,1.2172820553097579,1.1175595457866903,1.1030175223324687,0.8969694188271569,0.2205901269595334,1.0072644823069234
F_2,F_2_ (6).jpg,6,0,0,1,0,0.00870043923844241,0.007017543859649123,0.013128622409733127,0.004129274894913708,0.08478357875948239,0.12768361581920917,0.007874015748031482,0.8962893462314845,0.11424219823944144,0.6476992974350325,-0.8909238113356499,1.0051660095750914,-0.3883408065481042
F_2,F_2_ (7).jpg,7,0,0,1,1,0.008173090681121683,0.006077371254627639,0.011637279966159297,0.006383010651828993,0.041874816338524745,0.02404371584699483,0.01049868766404205,0.7058821667354706,-0.48090784997959524,0.7768053000671397,-0.3839646441920076,-0.09694320578758764,-0.4324362470858014
F_2,F_2_ (8).jpg,8,1,0,1,0,0.010153046677046081,0.006077371254627639,0.009283337933559968,0.018233933660347597,0.012048192771084487,0.009039548022598876,0.005270453793811969,0.6570907538923159,-0.6334137154786761,1.0986776878369142,0.8799282368793515,-1.5133419523580276,0.12325726070033771
F_2,F_2_ (9).jpg,9,1,0,1,1,0.010317176642331635,0.006077371254627639,0.011095711088310103,0.018018252971761156,0.012048192771084487,0.025988700564971712,0.0076073378528218605,0.7469824036803024,-0.35244206384550353,1.105677645901742,0.907414897749006,-1.2598569615945094,0.27748641695175125
M_1,M_1_ (10).jpg,10,0,1,0,0,0.00860158917140955,0.005412658773652742,0.01795175827043134,0.0027739667944772658,0.10975609756097571,0.11780538302277455,0.006085842408712461,0.869974885384764,0.03199187194798183,0.4809012855119834,-1.5458877904054753,1.5778796623534572,-0.7569479592287467
M_1,M_1_ (11).jpg,11,0,1,0,1,0.00778875788276225,0.00625,0.013258252147247764,0.0039921239376038056,0.09756097560975618,0.10351966873706031,0.004154682007031063,0.7718088521333532,-0.2748427735611271,0.7150101841842733,-0.6266148683709102,0.3517720948097831,-0.45072882096601863
M_1,M_1_ (12).jpg,12,1,1,0,0,0.017551307896443307,0.009375,0.03351189154613628,0.02033062760995011,0.13414634146341475,0.06727233398226273,0.012123197903014415,1.449764297901736,1.844222365197773,1.2958730197532795,1.6542530490091425,0.18996931618863044,1.7492377071034577
M_1,M_1_ (13).jpg,13,1,1,0,1,0.01904485209339531,0.010825317547305483,0.0350780380010057,0.020393935137243864,0.2142857142857144,0.09931798806479142,0.012123197903014415,1.6898957635756324,2.594794133305494,1.2146260928781945,1.3352216055297643,1.2595725277757297,1.9650078694176292
M_1,M_1_ (14).jpg,14,0,1,1,0,0.006754669463286095,0.0,0.013621559198564606,0.004558283889747925,0.0,0.0724637681159419,0.004136175628380534,0.4356535640039067,-1.32555334271544,0.7410873742959151,-0.5242178433610393,-0.8013354993544007,-0.9248855930382396
M_1,M_1_ (15).jpg,15,0,1,1,1,0.006540272777926841,0.003125,0.010364452469860624,0.0038328038770148965,0.012500000000000178,0.09185848252344408,0.0022321428571427937,0.4741403096668916,-1.205256468418225,0.4899036886341626,-1.5105381498305428,0.3052816814123178,-1.3578973091243838
M_1,M_1_ (16).jpg,16,1,1,1,0,0.013584095050745043,0.009882117688026186,0.01875,0.01945426251495399,0.1807228915662651,0.06705602422669221,0.0032690421706440542,1.1797787313276287,1.0003365233386023,0.9490759190252496,0.2924885627064005,0.7078479606322019,0.6464125430225014
M_1,M_1_ (17).jpg,17,1,1,1,1,0.012262849746147936,0.00625,0.01875,0.020926398984591747,0.12195121951219523,0.06705602422669221,0.007536041939711691,1.1032510419488983,0.7611362046090437,0.8249595527763053,-0.1948778523297674,0.9560140569388111,0.2831291761396382
