identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,a_deltaE,a_luminance,a_contrast,a_texture,a_edge,a_one_minus_ssim,identity_cosine,identity_distance,G_raw,A_raw,I_raw,G,A,I
M_1,M_1_ (5).jpg,5,1,0,0,1,0.017557673406405655,0.007751549818934107,0.03334067643307829,0.018642819302865297,0.012820512820512775,0.009570494864612478,0.014209048330131036,16.146135430208755,15.032033840878057,1.4891999602147514,0.0025465238489711826,0.0007187079684179178,0.02738210869325286,0.8891652204386663,0.1108347795613337,1.0759663422870531,1.0800380518434178,0.1108347795613337,0.7907478379053559,0.6511813272104491,0.2961490349177917
M_1,M_1_ (6).jpg,6,0,0,1,0,0.008371528202800044,0.005481173441673662,0.01950763924990182,0.003016126677951028,0.0512820512820511,0.04915966386554649,0.0003330814508430979,0.4744388996319301,0.47269412122221866,0.09869547439840787,0.0010455508202411566,0.00015684583035162868,0.0012425338935536656,0.8980451014085418,0.10195489859145823,0.6175732474380046,0.10250651869178379,0.10195489859145823,-1.0092194513868809,-1.3266554497954068,0.07198354695045237
M_1,M_1_ (7).jpg,7,0,0,1,1,0.007670385754653182,0.005481173441673662,0.01733299232611285,0.002386203809152555,0.02564102564102555,0.002278376139188243,0.00222717149220486,18.718310124687118,17.72729047498194,0.3188332576731163,0.001880418884002051,0.0002342697616305161,0.009352916341871187,0.922546418930321,0.07745358106967903,0.44044884246998667,0.8051188961114785,0.07745358106967903,-1.70473196817724,0.09493817957821356,-0.5465326039692354
M_1,M_1_ (8).jpg,8,1,0,1,0,0.012089756193259882,0.006329113924050633,0.018178995716892497,0.018369741690422745,0.025316455696202667,0.014705882352941124,0.012234188607865293,1.7512570826643195,1.7507691354710744,1.7396325661631415,0.001207861788710844,0.00035101484586318697,0.023748982459902312,0.8883534063115045,0.1116465936884955,0.9043632855264033,0.535174982904273,0.1116465936884955,0.11691594038638353,-0.4512385739723737,0.31664263281300736
M_1,M_1_ (9).jpg,9,1,0,1,1,0.013128501115406768,0.007751549818934107,0.021228493457276485,0.018052787743742818,0.012820512820512775,0.004049445865302648,0.007990421640598488,16.543018329409566,15.449649989705563,1.4615427488376191,0.0022054358869929803,0.00011323862466543037,0.02561724116266173,0.9146182959049087,0.08538170409509127,0.8206998239339944,1.009574738183219,0.08538170409509127,-0.2116044842611213,0.5086131046411806,-0.34639348355920613
M_2,M_2_ (10).jpg,10,0,1,0,0,0.009660268109494427,0.0051425947722658,0.01991718390927877,0.004674058328130682,0.03621621621621607,0.015873015873015817,0.0029577894817188755,0.15599125767786348,0.15596233897548473,0.0147193424411185,0.000947375343242216,0.0006828358698935041,0.00039399988854982304,0.8868467369356545,0.11315326306434548,0.5701928120408858,0.10961454051649398,0.11315326306434548,-1.1952677030415486,-1.3122738094084758,0.3546772953257858
M_2,M_2_ (11).jpg,11,0,1,0,1,0.009908420768787243,0.0051425947722658,0.022416050919887187,0.0039438811011785705,0.03621621621621607,0.04918032786885229,0.0004388977940614769,16.53020133762834,15.838502547402697,4.002367625571445,0.0027838609927618354,0.001877724670413361,0.010501976325796636,0.8218480119146048,0.17815198808539523,0.6169818764205471,1.199135246146514,0.17815198808539523,-1.011541581670299,0.8921503424722173,1.9955180859881938
M_2,M_2_ (12).jpg,12,1,1,0,0,0.013797372568255107,0.008907235428302466,0.029541957835039857,0.011597702237412301,0.12411095305832154,0.0793650793650793,0.017676767676767735,1.941687460912717,1.9303308396132195,1.6496314722426106,0.002028603535768167,0.005074059384274521,0.018720352980092003,0.8533302363535558,0.14666976364644424,1.4927471911865513,0.8616861971861974,0.14666976364644424,2.427316763686381,0.20939063931711302,1.2007745271954549
M_2,M_2_ (13).jpg,13,1,1,0,1,0.012998833776236373,0.006298366572977735,0.02439346884545225,0.013172343404698096,0.0762162162162161,0.078125,0.019712235707197934,14.887343068337358,14.061306656112237,5.645387683029213,0.005036573806611476,0.006032400267500106,0.027545663465776804,0.811600261929287,0.18839973807071297,1.3277676034399775,1.8752762494520867,0.18839973807071297,1.7794931714864568,2.260184515720682,2.2542143324603203
M_2,M_2_ (14).jpg,14,0,1,1,0,0.008967352374956739,0.006298366572977735,0.01991718390927877,0.003355492444592722,0.08463726884779499,0.01449275362318847,0.006662098370641134,0.008543371961763913,0.0005471481570396008,0.018030827360043133,0.000944216921571902,0.0004270424640350143,0.0003266252260671898,0.8969445794682775,0.10305542053172245,0.7641736665636424,0.08591497496285373,0.10305542053172245,-0.4335651450985718,-1.360225073138993,0.09976534251674496
M_2,M_2_ (15).jpg,15,0,1,1,1,0.008841812762482894,0.0036363636363636364,0.021203461435801093,0.0042290594047891174,0.04954954954954971,0.01449275362318847,0.00871496924128512,16.637012182555633,15.956758407349867,4.033485588768507,0.002834880428269972,0.0018587113819519135,0.010701176337588159,0.8106940545127916,0.18930594548720836,0.6704836967589128,1.2084927622084027,0.18930594548720836,-0.8014565528843376,0.9110833781656611,2.277090813395983
M_2,M_2_ (16).jpg,16,1,1,1,0,0.013045086863926705,0.0036363636363636364,0.01991718390927877,0.020495643628246997,0.04954954954954971,0.01492537313432818,0.004139331458919093,1.21712260142568,1.2140877728763542,0.24054630603096427,0.001955297280019318,0.0025732383214568458,0.007858381624919808,0.8311470857105974,0.16885291428940263,0.7991844642551936,0.43049924698485625,0.16885291428940263,-0.296088618237772,-0.6630286934113757,1.760770410631436
