"picture_filename","stimtype_identity","cond_id","fslim_raw","eye_raw","mouth_raw","skin_raw","original_flag","attention_or_back_flag","n_trial_references","n_unique_mapping_tuples","mapping_consistent","physical_file_found","n_physical_matches","resolved_path","width_px","height_px","color_mode","file_sha256","duplicate_content_count","audit_status"
"M_2_ (11).jpg","M_2","11","0","2","1","1","0","0","180","1","True","True","1","M_2_ (11).jpg","768","1024","RGB","4a05940b7daa6506f74994ad3ce1a5d756e096b71f13664c240259c98eeb2bd7","1","found"
"M_2_ (12).jpg","M_2","12","1","2","1","0","0","0","180","1","True","True","1","M_2_ (12).jpg","768","1024","RGB","fea92d2d6fa8a43f57e97551fff47e57ab0a5fcaca67dd1dc38a8526a28fc270","1","found"
"M_2_ (13).jpg","M_2","13","1","2","1","1","0","0","180","1","True","True","1","M_2_ (13).jpg","768","1024","RGB","fbd18d76a04ddc3bc31071433d63d1aeef6ddb5ab26089656f97ef314d3c92b0","1","found"
"M_2_ (14).jpg","M_2","14","0","2","2","0","0","0","180","1","True","True","1","M_2_ (14).jpg","768","1024","RGB","3f2edd1f9fa11780afd3d6fa0c8bd4d90ea9f887bee811ad7ab9201b5f7b0c71","1","found"
"M_2_ (15).jpg","M_2","15","0","2","2","1","0","0","180","1","True","True","1","M_2_ (15).jpg","768","1024","RGB","3dd4dfba609d1c588f4985dd101965d8ba44439e8651d3852a6d6880f8e30b89","1","found"
"M_2_ (16).jpg","M_2","16","1","2","2","0","0","0","180","1","True","True","1","M_2_ (16).jpg","768","1024","RGB","4ce26a52b62cee040d35eb608885cb2651b21576b6d23084b3804d41aca2a60a","1","found"
"M_2_ (17).jpg","M_2","17","1","2","2","1","0","0","180","1","True","True","1","M_2_ (17).jpg","768","1024","RGB","5e1863c73ab7f0a3b68bce4d323bcec558e1dcb54051d356113eab7c7f6005df","1","found"
"M_2_ (2).jpg","M_2","2","0","1","1","0","0","0","180","1","True","True","1","M_2_ (2).jpg","768","1024","RGB","a8f0cf21452a544440fcbf2805d1bf39b2f2cc13a4f52e69d8601b2e894d6706","1","found"
"M_2_ (3).jpg","M_2","3","0","1","1","1","0","0","180","1","True","True","1","M_2_ (3).jpg","768","1024","RGB","fbbcf8a497a23baf9bb905115166b73d73d177f4e73d74e19848628ef611d506","1","found"
"M_2_ (4).jpg","M_2","4","1","1","1","0","0","0","180","1","True","True","1","M_2_ (4).jpg","768","1024","RGB","be8cd874320586bf9f7d99d571bc013696309e5751f2053bddbc483821ee1b63","1","found"
"M_2_ (5).jpg","M_2","5","1","1","1","1","0","0","180","1","True","True","1","M_2_ (5).jpg","768","1024","RGB","2733609cd8a5dab3a96fdc19762143837640cebfd7a12d957619ece710f9fed2","1","found"
"M_2_ (6).jpg","M_2","6","0","1","2","0","0","0","180","1","True","True","1","M_2_ (6).jpg","768","1024","RGB","91044857739e4655758b6e10604eacccfc2179bb975a3846e0c08bc7b7a96b0e","1","found"
"M_2_ (7).jpg","M_2","7","0","1","2","1","0","0","180","1","True","True","1","M_2_ (7).jpg","768","1024","RGB","058b69d3c0c781d68e6da9b13f61abdc42662758a07cf8ead49d75711b87670d","1","found"
"M_2_ (8).jpg","M_2","8","1","1","2","0","0","0","180","1","True","True","1","M_2_ (8).jpg","768","1024","RGB","af03abb57b918b398704dc65c01b3f114796eb28d1164a4f201f73ccfbe83dcf","1","found"
"M_2_ (9).jpg","M_2","9","1","1","2","1","0","0","180","1","True","True","1","M_2_ (9).jpg","768","1024","RGB","4a32155fe043191dc192c706cdfc665f9c9d81efe449addcc3657e191bfa852c","1","found"
"T_ (1).jpg","T","1","N","N","N","N","N","1","540","1","True","False","0","T_ (1).jpg","","","","","0","missing_physical_image"
"T_ (2).jpg","T","2","N","N","N","N","N","1","360","1","True","False","0","T_ (2).jpg","","","","","0","missing_physical_image"
"T_ (3).jpg","T","3","N","N","N","N","N","1","360","1","True","False","0","T_ (3).jpg","","","","","0","missing_physical_image"
"T_ (4).jpg","T","4","N","N","N","N","N","1","540","1","True","False","0","T_ (4).jpg","","","","","0","missing_physical_image"
